text_de_ori,text,fr,it,drawing_number,canonical_id,canonical_reference,source_tex,candidate_origin,category,fr_svg_status,it_svg_status,decision,reviewer,comment
Durchlass- bereich,Durchlassbereich,bande passante,banda passante,655,dr_79776adf1c24,canonical/drawings/dr_79776adf1c24,655.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Dämpfung,Dämpfung,atténuation,attenuazione,1078,dr_e310639ecb2e,canonical/drawings/dr_e310639ecb2e,1078.de.tex,newly_detected,pgfplots_legend,fallback_de,fallback_de,to_be_translated,,
Dämpfung [dB],Dämpfung [dB],atténuation [dB],attenuazione [dB],1010,dr_2f1492a8022d,canonical/drawings/dr_2f1492a8022d,1010.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
EA,EA,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
eff,eff,,,834,dr_8792447f4277,canonical/drawings/dr_8792447f4277,834.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
EK,EK,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
ER,ER,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
Erde,Erde,terre,terra,192,dr_c2c4d5ff5ff4,canonical/drawings/dr_c2c4d5ff5ff4,192.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Erde,Erde,terre,terra,193,dr_41299e8c11e9,canonical/drawings/dr_41299e8c11e9,193.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Erde,Erde,terre,terra,194,dr_ddc7287c0ac7,canonical/drawings/dr_ddc7287c0ac7,194.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Erde,Erde,terre,terra,203,dr_2bd9759d65d2,canonical/drawings/dr_2bd9759d65d2,203.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Erde,Erde,terre,terra,204,dr_07d381b1ba01,canonical/drawings/dr_07d381b1ba01,204.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Erde,Erde,terre,terra,883,dr_f9db21bc3008,canonical/drawings/dr_f9db21bc3008,883.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Erde,Erde,terre,terra,884,dr_e2618c00d169,canonical/drawings/dr_e2618c00d169,884.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Erde,Erde,terre,terra,885,dr_8ab5ef664247,canonical/drawings/dr_8ab5ef664247,885.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Erde,Erde,terre,terra,886,dr_80147de134af,canonical/drawings/dr_80147de134af,886.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Erde,Erde,terre,terra,935,dr_738ebdcbd799,canonical/drawings/dr_738ebdcbd799,935.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Erde,Erde,terre,terra,936,dr_63f83c1ed536,canonical/drawings/dr_63f83c1ed536,936.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
ES,ES,ES,ES,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
EU,EU,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
Feldstärke in,Feldstärke in,intensité de champ en,intensità di campo in,979,dr_ee75e69047e4,canonical/drawings/dr_ee75e69047e4,979.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
Feldstärke in,Feldstärke in,intensité de champ en,intensità di campo in,980,dr_5e2f54ffb534,canonical/drawings/dr_5e2f54ffb534,980.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
Feldstärke in,Feldstärke in,intensité de champ en,intensità di campo in,981,dr_fb7617613398,canonical/drawings/dr_fb7617613398,981.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
Flux,Flux,flux,flusso,988,dr_a2f0b10b33da,canonical/drawings/dr_a2f0b10b33da,988.de.tex,newly_detected,pgfplots_legend,fallback_de,fallback_de,to_be_translated,,
FM,FM,,,711,dr_318137d91f10,canonical/drawings/dr_318137d91f10,711.de.tex,newly_detected,pgfplots_title,fallback_de,fallback_de,,,
Frequenz [ ],Frequenz [ ],fréquence [ ],frequenza [ ],742,dr_7f063f9e1a7e,canonical/drawings/dr_7f063f9e1a7e,742.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
Frequenz [MHz],Frequenz [MHz],fréquence [MHz],frequenza [MHz],991,dr_510813f24e20,canonical/drawings/dr_510813f24e20,991.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
Frequenz [MHz],Frequenz [MHz],fréquence [MHz],frequenza [MHz],999,dr_d5b7f32ec4cc,canonical/drawings/dr_d5b7f32ec4cc,999.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
Frequenz in,Frequenz in,fréquence en,frequenza in,979,dr_ee75e69047e4,canonical/drawings/dr_ee75e69047e4,979.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
Frequenz in,Frequenz in,fréquence en,frequenza in,980,dr_5e2f54ffb534,canonical/drawings/dr_5e2f54ffb534,980.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
Frequenz in,Frequenz in,fréquence en,frequenza in,981,dr_fb7617613398,canonical/drawings/dr_fb7617613398,981.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
FSK,FSK,,,703,dr_647c40e3173e,canonical/drawings/dr_647c40e3173e,703.de.tex,newly_detected,pgfplots_title,fallback_de,fallback_de,,,
FT8,FT8,,,718,dr_53626634e2b3,canonical/drawings/dr_53626634e2b3,718.de.tex,newly_detected,pgfplots_title,fallback_de,fallback_de,,,
HA,HA,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
HB9,HB9,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
Hostanteil,Hostanteil,partie hôte,parte host,699,dr_c7a0b4760db9,canonical/drawings/dr_c7a0b4760db9,699.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Höhe [km],Höhe [km],altitude [km],altezza [km],994,dr_1fd4f7e0651a,canonical/drawings/dr_1fd4f7e0651a,994.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
Höhe [km],Höhe [km],altitude [km],altezza [km],995,dr_38ad714a80ba,canonical/drawings/dr_38ad714a80ba,995.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
Höhe [km],Höhe [km],altitude [km],altezza [km],996,dr_c0254ca7e657,canonical/drawings/dr_c0254ca7e657,996.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
Höhe [km],Höhe [km],altitude [km],altezza [km],997,dr_3555d09607af,canonical/drawings/dr_3555d09607af,997.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
Höhe [km],Höhe [km],altitude [km],altezza [km],998,dr_58d61252789c,canonical/drawings/dr_58d61252789c,998.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
IN,IN,,,773,dr_cb44e84a9370,canonical/drawings/dr_cb44e84a9370,773.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
internes [-0.3em]Netz,internes Netz,réseau interne,rete interna,706,dr_9aaf79ee6f4d,canonical/drawings/dr_9aaf79ee6f4d,706.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Internet,Internet,,,542,dr_5d75720f14fd,canonical/drawings/dr_5d75720f14fd,542.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
Internet,Internet,,,668,dr_4c48a1d86f3a,canonical/drawings/dr_4c48a1d86f3a,668.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
Internet- [-0.3em]anschluss,Internetanschluss,connexion Internet,connessione Internet,706,dr_9aaf79ee6f4d,canonical/drawings/dr_9aaf79ee6f4d,706.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
IPv4-Adresse,IPv4-Adresse,,,699,dr_c7a0b4760db9,canonical/drawings/dr_c7a0b4760db9,699.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
Jahre,Jahre,années,anni,729,dr_5378a9407d08,canonical/drawings/dr_5378a9407d08,729.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
Jahre,Jahre,années,anni,988,dr_a2f0b10b33da,canonical/drawings/dr_a2f0b10b33da,988.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
LA,LA,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
Lampe,Lampe,lampe,lampada,541,dr_f8eebd8baf79,canonical/drawings/dr_f8eebd8baf79,541.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,to_be_translated,,
Leistung,Leistung,puissance,potenza,1078,dr_e310639ecb2e,canonical/drawings/dr_e310639ecb2e,1078.de.tex,newly_detected,pgfplots_legend,fallback_de,fallback_de,to_be_translated,,
LX,LX,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
LY,LY,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
LZ,LZ,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
mech.,mech.,méc.,mecc.,563,dr_e8f5eeb2e506,canonical/drawings/dr_e8f5eeb2e506,563.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,to_be_translated,,
mech.,mech.,méc.,mecc.,650,dr_0a4f9f531916,canonical/drawings/dr_0a4f9f531916,650.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,to_be_translated,,
MMIC,MMIC,,,773,dr_cb44e84a9370,canonical/drawings/dr_cb44e84a9370,773.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
mod max,mod max,,,910,dr_a12eb4c4d865,canonical/drawings/dr_a12eb4c4d865,910.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
MUF,MUF,,,999,dr_d5b7f32ec4cc,canonical/drawings/dr_d5b7f32ec4cc,999.de.tex,newly_detected,pgfplots_legend,fallback_de,fallback_de,,,
Netzanteil,Netzanteil,partie réseau,parte rete,699,dr_c7a0b4760db9,canonical/drawings/dr_c7a0b4760db9,699.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Netzmaske,Netzmaske,masque de sous-réseau,maschera di sottorete,699,dr_c7a0b4760db9,canonical/drawings/dr_c7a0b4760db9,699.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Netzwerk,Netzwerk,réseau,rete,630,dr_2079b8f11324,canonical/drawings/dr_2079b8f11324,630.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,82,dr_5683e16afdcc,canonical/drawings/dr_5683e16afdcc,82.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,83,dr_c3b934c45f36,canonical/drawings/dr_c3b934c45f36,83.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,84,dr_6c2ef49fdcb8,canonical/drawings/dr_6c2ef49fdcb8,84.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,90,dr_7ab97825b9e3,canonical/drawings/dr_7ab97825b9e3,90.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,93,dr_ffb02e6b61f6,canonical/drawings/dr_ffb02e6b61f6,93.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,803,dr_9d99a23721b2,canonical/drawings/dr_9d99a23721b2,803.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,827,dr_6c33dcd43376,canonical/drawings/dr_6c33dcd43376,827.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,838,dr_da829294ae58,canonical/drawings/dr_da829294ae58,838.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,839,dr_5d9a78948275,canonical/drawings/dr_5d9a78948275,839.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,910,dr_a12eb4c4d865,canonical/drawings/dr_a12eb4c4d865,910.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,913,dr_7ffd53570773,canonical/drawings/dr_7ffd53570773,913.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,968,dr_4d854bf3e1e8,canonical/drawings/dr_4d854bf3e1e8,968.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
NF,NF,BF,BF,970,dr_195a1b379f97,canonical/drawings/dr_195a1b379f97,970.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
normierter Wert,normierter Wert,valeur normalisée,valore normalizzato,1078,dr_e310639ecb2e,canonical/drawings/dr_e310639ecb2e,1078.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
oF2,oF2,oF2,oF2,999,dr_d5b7f32ec4cc,canonical/drawings/dr_d5b7f32ec4cc,999.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
